"accepted_name","ma_lb_l","ma_lb_u","ma_ub_l","ma_ub_u","occupied_rocks","occupied_zones","n_occs"
"Gyrocystis platessa",504.9,504.3,501,499.3,3,6,11
"Gyrocystis testudiformis",503.7,503.1,503.1,502.5,1,2,4
"Gyrocystis cruzae",503.5,501,503.5,501,1,1,1
"Gyrocystis badulesiensis",503.5,501,503.5,501,1,1,2
"Gyrocystis erecta",503.5,501,501.6,501,1,2,2
"Progyrocystis disjuncta",503.5,501,503.5,501,1,1,1
"Protocinctus mansillaensis",506.6,505.2,506.6,505.2,1,1,1
"Elliptocinctus barrandei",501.6,501,501.6,501,3,2,5
"Elliptocinctus vizcainoi",504.5,503.4,504.5,503.4,1,1,1
"Sucocystis theronensis",501.6,501,501.6,501,1,1,1
"Sucocystis bretoni",501,499.3,501,499.3,1,1,1
"Lignanicystis barriosensis",501.6,501,501.6,501,1,1,3
"Undatacinctus undata",501,499.3,501,499.3,1,1,1
"Undatacinctus acrofera",499.3,498.2,499.3,498.2,1,1,2
"Undatacinctus quadricornuta",501,499.3,501,499.3,1,1,1
"Undatacinctus melendezi",501,499.3,498.2,497,2,3,7
"Asturicystis jaekeli",504.9,504.3,504.9,504.3,1,1,1
"Sotocinctus ubaghsi",505.4,504.5,505.2,504.5,2,1,2
"Trochocystites bohemicus",505.2,503.7,503.8,503,1,2,3
"Trochocystoides parvus",505.4,501.6,505.4,501.6,1,0,1
"Ludwigicinctus truncatus",501.6,500.5,501.6,500.5,1,1,1
"Graciacystis ambigua",504.9,504.3,503.7,503.1,1,3,3
"Asturicystis havliceki",505.2,504.9,505.2,504.9,1,1,3
"Nelegerocystis ivantzovi",502.1,500.5,502.1,500.5,1,1,1
"Rozanovicystis triangularis",502.1,500.5,502.1,500.5,1,1,1
"Davidocinctus pembrokensis",504.5,503.4,504.5,503.4,1,1,1
