"ma_lb","ma_ub","zone"
498.2,497,"Eccaparadoxides macrocercus"
499.3,498.2,"Bailiaspis souchoni"
501,499.3,"Jincella convexa"
501,499.3,"Bailiella levyi"
501.6,500.5,"Erratojincella brachymetopa"
501.6,501,"Solenopleuropsis thorali"
501.6,501,"Solenopleuropsis"
502.1,500.5,"Pseudanomocarina - Anomocarioides limbataeformis"
503.1,502.5,"Solenopleuropsis ribeiroi"
503.5,501,"Solenopleuropsis"
503.7,503.1,"Pardailhania multispinosa"
503.8,503,"Hypagnostus parvifrons"
504.3,503.9,"Pardailhania hispida"
504.5,503.4,"Mawddachites hicksii"
504.9,504.3,"Badulesia granieri"
505.2,503.7,"Eccaparadoxides pusillus"
505.2,504.5,"Badulesia tenera"
505.2,504.9,"Litavkaspis rejkovicensis"
505.4,504.5,"Badulesia tenera"
506.6,505.2,"Eccaparadoxides asturianus"
