Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	branch_rate_var[1]	branch_rate_var[2]	branch_rate_var[3]	branch_rate_var[4]	branch_rate_var[5]	branch_rate_var[6]	branch_rate_var[7]	branch_rate_var[8]	branch_rate_var[9]	branch_rate_var[10]	branch_rate_var[11]	branch_rate_var[12]	branch_rate_var[13]	branch_rate_var[14]	branch_rate_var[15]	branch_rate_var[16]	branch_rate_var[17]	branch_rate_var[18]	branch_rate_var[19]	branch_rate_var[20]	branch_rate_var[21]	branch_rate_var[22]	branch_rate_var[23]	branch_rate_var[24]	branch_rate_var[25]	branch_rate_var[26]	branch_rate_var[27]	branch_rate_var[28]	branch_rate_var[29]	branch_rate_var[30]	branch_rate_var[31]	branch_rate_var[32]	branch_rate_var[33]	branch_rate_var[34]	branch_rate_var[35]	branch_rate_var[36]	branch_rate_var[37]	branch_rate_var[38]	branch_rate_var[39]	branch_rate_var[40]	branch_rate_var[41]	branch_rate_var[42]	branch_rate_var[43]	branch_rate_var[44]	branch_rate_var[45]	branch_rate_var[46]	branch_rate_var[47]	branch_rate_var[48]	branch_rate_var[49]	branch_rate_var[50]	branch_rate_var[51]	branch_rate_var[52]	origin_time	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	Root_age	tree_length	ucln_mean	ucln_mu	ucln_sigma	ucln_var
0	0	-883.2905	-885.9317	2.641179	48901.83	0.276724	0.572078	0.592806	0.464913	0.366946	0.473571	0.477206	0.643254	0.330736	0.649579	0.530128	0.579543	0.79143	0.199062	0.556081	0.479333	0.415719	0.289101	0.195994	0.671574	0.55626	0.51199	0.345056	0.288999	0.220967	0.862009	0.676089	0.459146	0.554068	0.335002	0.542009	0.457025	0.369192	0.162556	0.46426	0.32387	0.339748	0.326419	0.606126	0.447104	0.470708	0.299803	0.572151	0.747236	0.615947	0.354101	0.453089	0.453801	0.440008	0.266457	0.235408	0.249566	11.43564	0.994258	0.998526	1.00146	1.00575	11.43564	154.5425	0.4516701	-0.8689667	0.3851321	0.1483267
1	1	-645.7136	-759.3113	113.5977	906540.2	0.121891	0.10264	0.0892873	0.118411	0.120209	0.0951832	0.105382	0.113617	0.141424	0.111408	0.13963	0.0884157	0.101316	0.108351	0.120851	0.113539	0.120729	0.102629	0.139655	0.128071	0.0737307	0.103203	0.147032	0.0989986	0.0979399	0.123495	0.120942	0.141401	0.104305	0.113007	0.14892	0.105673	0.114014	0.113715	0.0926554	0.118378	0.120791	0.122727	0.173905	0.103298	0.0991654	0.113632	0.10645	0.135645	0.119027	0.13485	0.107898	0.120308	0.124949	0.0839526	0.116268	0.0933403	13.81303	0.998665	0.999659	1.00034	1.00134	13.81303	183.9069	0.1149971	-2.17595	0.1618786	0.02620469
2	0	-516.3088	-562.3046	45.99581	50143.34	0.126421	0.153835	0.185492	0.211905	0.270064	0.16967	0.263608	0.336688	0.178542	0.13632	0.170941	0.177248	0.107254	0.256298	0.156472	0.218384	0.128492	0.120234	0.0859241	0.186676	0.223125	0.145966	0.0378811	0.167724	0.205248	0.195984	0.167489	0.0931985	0.0850117	0.120725	0.225129	0.308867	0.394623	0.126827	0.312126	0.238322	0.236236	0.098503	0.0912464	0.158302	0.277463	0.126487	0.212108	0.12282	0.128283	0.176585	0.133513	0.0964802	0.138452	0.0705055	0.154039	0.251926	11.40454	0.994329	0.998544	1.00144	1.00568	11.40454	71.77136	0.183313	-1.788943	0.4298447	0.1847664
3	1	-378.4188	-496.0729	117.6541	723864	0.135261	0.12333	0.147439	0.0927401	0.103242	0.135614	0.111624	0.116131	0.106293	0.106374	0.117953	0.119666	0.0894741	0.127623	0.0971111	0.113027	0.0979681	0.119266	0.114731	0.13463	0.0959147	0.0942181	0.0856022	0.12774	0.120673	0.109326	0.0853548	0.10175	0.115942	0.0960191	0.0934708	0.0975221	0.119289	0.108371	0.0948178	0.0944498	0.104255	0.0972947	0.119015	0.12493	0.110101	0.0794031	0.0914849	0.0917965	0.11571	0.125124	0.0811845	0.0961636	0.135122	0.13247	0.0823532	0.116095	13.84135	0.998506	0.999618	1.00038	1.00149	13.84135	66.08382	0.1120139	-2.201389	0.1565692	0.0245139
4	0	-419.2011	-458.224	39.02292	123843.5	0.177097	0.493518	0.264499	0.0452924	0.195125	0.1202	0.0528508	0.140347	0.116548	0.061086	0.18525	0.0575998	0.0893117	0.132832	0.0753099	0.253122	0.226548	0.141858	0.0783883	0.392592	0.0708852	0.0951566	0.0697089	0.0558791	0.351158	0.145805	0.0181515	0.264015	0.139323	0.0414395	0.292836	0.164151	0.108427	0.0589707	0.0627467	0.0524033	0.120659	0.127724	0.161208	0.00811717	0.13677	0.0876141	0.0917677	0.0231366	0.0347401	0.0985709	0.0173759	0.11106	0.152086	0.0247588	0.0559526	0.0741935	11.37445	0.99639	0.999075	1.00092	1.00361	11.37445	69.42975	0.1395317	-2.247416	0.7455906	0.5559053
5	1	-339.548	-464.3343	124.7863	635304.3	0.121146	0.127866	0.0939791	0.110233	0.101675	0.10405	0.112217	0.0975104	0.0990794	0.11966	0.133749	0.106569	0.12008	0.131212	0.0981861	0.103778	0.115757	0.118006	0.127999	0.126286	0.0953547	0.114844	0.109645	0.0961153	0.108249	0.12401	0.0987583	0.118494	0.107363	0.0920795	0.125134	0.124538	0.0970586	0.139956	0.10324	0.105115	0.125049	0.109988	0.106256	0.0939747	0.100674	0.103102	0.126244	0.0760084	0.120476	0.129395	0.0921621	0.0985658	0.127074	0.104366	0.135785	0.128326	13.85188	0.998406	0.999592	1.00041	1.0016	13.85188	69.08295	0.113016	-2.191164	0.14791	0.02187738
6	0	-380.2263	-448.0941	67.86786	764528.9	0.0493012	0.106601	0.351298	0.0268016	0.206382	0.0254697	0.0438428	0.177305	0.0247158	0.347258	0.0478482	0.0690162	0.0708778	0.153112	0.087273	0.0730458	0.045738	0.0503144	0.0701611	0.0404722	0.0448628	0.078164	0.0197759	0.200757	0.165856	0.100353	0.0275062	0.0656454	0.0501818	0.0360473	0.0271166	0.0557349	0.0512189	0.0973413	0.133426	0.0419493	0.0854326	0.0705499	0.0700216	0.022448	0.201233	0.0370379	0.0460597	0.0534641	0.0546934	0.0251172	0.0725789	0.0590632	0.145384	0.0423774	0.0694299	0.099553	11.38752	0.998547	0.999628	1.00037	1.00145	11.38752	81.12848	0.07135738	-2.859726	0.6628289	0.4393421
7	1	-352.751	-460.1176	107.3666	526992.9	0.110071	0.153402	0.0828072	0.105647	0.139787	0.154419	0.147388	0.115311	0.137676	0.0937011	0.0982127	0.083858	0.121059	0.123497	0.100865	0.126874	0.110921	0.0941316	0.0826569	0.160685	0.108193	0.115235	0.10234	0.138343	0.127514	0.112612	0.0877771	0.100598	0.120756	0.0872705	0.101064	0.110704	0.109851	0.137467	0.132009	0.123806	0.107726	0.123631	0.0914036	0.0956995	0.141905	0.103931	0.120224	0.123262	0.136201	0.11172	0.126949	0.13774	0.103951	0.0845336	0.122277	0.0914172	13.85125	0.99825	0.999552	1.00045	1.00175	13.85125	75.22087	0.113016	-2.192054	0.1538075	0.02365673
8	0	-386.6864	-457.8012	71.11482	70641	0.0274126	0.09508	0.250008	0.0380713	0.1604	0.0220289	0.0268791	0.0635373	0.0303586	0.072738	0.0710857	0.111755	0.0628045	0.197046	0.0572443	0.120331	0.0326112	0.0877705	0.10437	0.0389959	0.00644155	0.0124501	0.0290117	0.0693828	0.0424869	0.178855	0.0447183	0.0578541	0.0432954	0.0668038	0.0349296	0.0552568	0.0443291	0.086242	0.0899228	0.0812831	0.0440288	0.298777	0.025214	0.0645248	0.144353	0.0240522	0.0245171	0.0181621	0.0910806	0.0150772	0.0569094	0.0400346	0.300732	0.0290375	0.0245017	0.0303601	11.34458	0.995222	0.998774	1.00122	1.00479	11.34458	92.48639	0.07386801	-2.890124	0.7545173	0.5692963
9	1	-349.3984	-462.2463	112.8479	701135	0.0786218	0.111264	0.113526	0.104514	0.132955	0.0955936	0.0962457	0.115623	0.129164	0.116008	0.0824177	0.127552	0.103897	0.12089	0.072296	0.103328	0.110107	0.10305	0.10261	0.136208	0.0813992	0.0798404	0.102224	0.0805877	0.109024	0.101957	0.102532	0.106889	0.12436	0.0918464	0.0866071	0.0927828	0.126694	0.109762	0.0942221	0.112051	0.0698395	0.0934791	0.123348	0.0945139	0.149468	0.0905947	0.104503	0.0874704	0.116149	0.127469	0.116819	0.102005	0.1091	0.0834165	0.0976267	0.133796	13.85732	0.998482	0.999612	1.00039	1.00152	13.85732	84.25362	0.1080039	-2.237078	0.1515947	0.02298094
