Iteration	Posterior	Likelihood	Prior	alpha_morpho	branch_rate_var[1]	branch_rate_var[2]	branch_rate_var[3]	branch_rate_var[4]	branch_rate_var[5]	branch_rate_var[6]	branch_rate_var[7]	branch_rate_var[8]	branch_rate_var[9]	branch_rate_var[10]	branch_rate_var[11]	branch_rate_var[12]	branch_rate_var[13]	branch_rate_var[14]	branch_rate_var[15]	branch_rate_var[16]	branch_rate_var[17]	branch_rate_var[18]	branch_rate_var[19]	branch_rate_var[20]	branch_rate_var[21]	branch_rate_var[22]	branch_rate_var[23]	branch_rate_var[24]	branch_rate_var[25]	branch_rate_var[26]	branch_rate_var[27]	branch_rate_var[28]	branch_rate_var[29]	branch_rate_var[30]	branch_rate_var[31]	branch_rate_var[32]	branch_rate_var[33]	branch_rate_var[34]	branch_rate_var[35]	branch_rate_var[36]	branch_rate_var[37]	branch_rate_var[38]	branch_rate_var[39]	branch_rate_var[40]	branch_rate_var[41]	branch_rate_var[42]	branch_rate_var[43]	branch_rate_var[44]	branch_rate_var[45]	branch_rate_var[46]	branch_rate_var[47]	branch_rate_var[48]	branch_rate_var[49]	branch_rate_var[50]	branch_rate_var[51]	branch_rate_var[52]	origin_time	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	Root_age	tree_length	ucln_mean	ucln_mu	ucln_sigma	ucln_var
0	-883.2905	-885.9317	2.641179	48901.83	0.276724	0.572078	0.592806	0.464913	0.366946	0.473571	0.477206	0.643254	0.330736	0.649579	0.530128	0.579543	0.79143	0.199062	0.556081	0.479333	0.415719	0.289101	0.195994	0.671574	0.55626	0.51199	0.345056	0.288999	0.220967	0.862009	0.676089	0.459146	0.554068	0.335002	0.542009	0.457025	0.369192	0.162556	0.46426	0.32387	0.339748	0.326419	0.606126	0.447104	0.470708	0.299803	0.572151	0.747236	0.615947	0.354101	0.453089	0.453801	0.440008	0.266457	0.235408	0.249566	11.43564	0.994258	0.998526	1.00146	1.00575	11.43564	154.5425	0.4516701	-0.8689667	0.3851321	0.1483267
10	-516.3088	-562.3046	45.99581	50143.34	0.126421	0.153835	0.185492	0.211905	0.270064	0.16967	0.263608	0.336688	0.178542	0.13632	0.170941	0.177248	0.107254	0.256298	0.156472	0.218384	0.128492	0.120234	0.0859241	0.186676	0.223125	0.145966	0.0378811	0.167724	0.205248	0.195984	0.167489	0.0931985	0.0850117	0.120725	0.225129	0.308867	0.394623	0.126827	0.312126	0.238322	0.236236	0.098503	0.0912464	0.158302	0.277463	0.126487	0.212108	0.12282	0.128283	0.176585	0.133513	0.0964802	0.138452	0.0705055	0.154039	0.251926	11.40454	0.994329	0.998544	1.00144	1.00568	11.40454	71.77136	0.183313	-1.788943	0.4298447	0.1847664
20	-419.2011	-458.224	39.02292	123843.5	0.177097	0.493518	0.264499	0.0452924	0.195125	0.1202	0.0528508	0.140347	0.116548	0.061086	0.18525	0.0575998	0.0893117	0.132832	0.0753099	0.253122	0.226548	0.141858	0.0783883	0.392592	0.0708852	0.0951566	0.0697089	0.0558791	0.351158	0.145805	0.0181515	0.264015	0.139323	0.0414395	0.292836	0.164151	0.108427	0.0589707	0.0627467	0.0524033	0.120659	0.127724	0.161208	0.00811717	0.13677	0.0876141	0.0917677	0.0231366	0.0347401	0.0985709	0.0173759	0.11106	0.152086	0.0247588	0.0559526	0.0741935	11.37445	0.99639	0.999075	1.00092	1.00361	11.37445	69.42975	0.1395317	-2.247416	0.7455906	0.5559053
30	-380.2263	-448.0941	67.86786	764528.9	0.0493012	0.106601	0.351298	0.0268016	0.206382	0.0254697	0.0438428	0.177305	0.0247158	0.347258	0.0478482	0.0690162	0.0708778	0.153112	0.087273	0.0730458	0.045738	0.0503144	0.0701611	0.0404722	0.0448628	0.078164	0.0197759	0.200757	0.165856	0.100353	0.0275062	0.0656454	0.0501818	0.0360473	0.0271166	0.0557349	0.0512189	0.0973413	0.133426	0.0419493	0.0854326	0.0705499	0.0700216	0.022448	0.201233	0.0370379	0.0460597	0.0534641	0.0546934	0.0251172	0.0725789	0.0590632	0.145384	0.0423774	0.0694299	0.099553	11.38752	0.998547	0.999628	1.00037	1.00145	11.38752	81.12848	0.07135738	-2.859726	0.6628289	0.4393421
40	-386.6864	-457.8012	71.11482	70641	0.0274126	0.09508	0.250008	0.0380713	0.1604	0.0220289	0.0268791	0.0635373	0.0303586	0.072738	0.0710857	0.111755	0.0628045	0.197046	0.0572443	0.120331	0.0326112	0.0877705	0.10437	0.0389959	0.00644155	0.0124501	0.0290117	0.0693828	0.0424869	0.178855	0.0447183	0.0578541	0.0432954	0.0668038	0.0349296	0.0552568	0.0443291	0.086242	0.0899228	0.0812831	0.0440288	0.298777	0.025214	0.0645248	0.144353	0.0240522	0.0245171	0.0181621	0.0910806	0.0150772	0.0569094	0.0400346	0.300732	0.0290375	0.0245017	0.0303601	11.34458	0.995222	0.998774	1.00122	1.00479	11.34458	92.48639	0.07386801	-2.890124	0.7545173	0.5692963
50	-361.4141	-439.8097	78.39558	22630.32	0.0279415	0.0749438	0.0542593	0.10025	0.0886784	0.0381052	0.00879925	0.0397079	0.0350181	0.0713134	0.115007	0.0302164	0.0158395	0.0409107	0.0472072	0.166529	0.0407259	0.0896789	0.107389	0.220938	0.00316879	0.0124112	0.0350983	0.329906	0.0295378	0.256154	0.0213095	0.0163019	0.0242501	0.119498	0.0277328	0.0223601	0.0181408	0.045833	0.00546899	0.0554925	0.0358614	0.0814456	0.0411633	0.0828772	0.0142168	0.0413945	0.0190237	0.0399735	0.0285699	0.0139716	0.0526139	0.0256534	0.153618	0.021594	0.0560028	0.0256508	11.36598	0.991563	0.997829	1.00215	1.00846	11.36598	106.6662	0.06095124	-3.186357	0.8816755	0.7773517
60	-359.7691	-429.312	69.5429	88612.51	0.0212798	0.0546551	0.269083	0.313746	0.0930239	0.0412053	0.359399	0.0248356	0.0394623	0.0585184	0.028873	0.0439637	0.00363074	0.039578	0.0234252	0.0482554	0.0115168	0.260747	0.0209932	0.182898	0.00577562	0.00934041	0.0149486	0.409155	0.0243476	0.288029	0.0131779	0.00729346	0.00302012	0.0849624	0.0401915	0.064114	0.100524	0.00953605	0.00279051	0.0873079	0.0332432	0.0469582	0.0250764	0.0531161	0.029246	0.0127316	0.0572573	0.0915488	0.0317386	0.0447918	0.033121	0.00582582	0.0730243	0.0307129	0.00859744	0.0265807	11.35952	0.995733	0.998906	1.00109	1.00427	11.35952	140.3961	0.08913667	-3.199037	1.250162	1.562905
70	-356.915	-440.4881	83.57307	68378.84	0.00830763	0.0346197	0.0955873	0.0537958	0.091973	0.0186925	0.0860804	0.0287575	0.110665	0.0854561	0.0385322	0.0335918	0.0109363	0.0218689	0.0429599	0.06246	0.0121374	0.0234033	0.0208565	0.1389	0.00500369	0.0229386	0.0472447	0.267056	0.0119309	0.0995994	0.0561837	0.0337011	0.108931	0.0599142	0.0172905	0.0367924	0.04542	0.0174536	0.0172399	0.0488483	0.0339843	0.108379	0.046203	0.102777	0.0312065	0.0238043	0.00518979	0.0766751	0.0420752	0.0840911	0.0691531	0.0157767	0.13351	0.020581	0.030265	0.0740678	11.35253	0.995143	0.998754	1.00124	1.00487	11.35253	143.0404	0.06403064	-3.184103	0.9334984	0.8714193
80	-344.7656	-436.7241	91.9585	124714.8	0.0409599	0.0561495	0.372286	0.0670981	0.0987051	0.0270825	0.0151955	0.0297508	0.0562695	0.057476	0.0244614	0.0255775	0.00883825	0.020409	0.0380359	0.0264977	0.0509176	0.0414218	0.0173465	0.137184	0.0101152	0.020513	0.025119	0.235397	0.00304927	0.0331394	0.00753102	0.0273057	0.035224	0.0137004	0.0167978	0.0621787	0.191205	0.0173984	0.0132482	0.031143	0.0158273	0.0923324	0.0144062	0.0063105	0.0180557	0.0154743	0.00614625	0.0687662	0.020729	0.0400134	0.0662598	0.0328738	0.0750193	0.00979886	0.0213336	0.0871695	11.35639	0.996403	0.999078	1.00092	1.0036	11.35639	155.7595	0.04624369	-3.488087	0.9102269	0.828513
90	-356.8792	-444.4106	87.53137	135730.8	0.0440803	0.0540795	0.16803	0.0854939	0.0708397	0.0104507	0.00921301	0.0413962	0.0275325	0.0114214	0.0258169	0.0370725	0.021648	0.0222892	0.0309523	0.0389099	0.014192	0.0177355	0.0463504	0.269539	0.00860447	0.0669142	0.0379625	0.0896811	0.00784116	0.048364	0.00623034	0.0253176	0.119308	0.0242807	0.0248669	0.0343179	0.0461289	0.0675828	0.105897	0.0285065	0.0223118	0.0436234	0.0110177	0.178393	0.0181856	0.0304776	0.0191791	0.124575	0.0265935	0.0665364	0.0605351	0.00205075	0.0882694	0.0179088	0.0249291	0.0750737	11.36556	0.996552	0.999117	1.00088	1.00345	11.36556	156.6185	0.04859392	-3.409673	0.8779701	0.7708315
