Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	0	-628.609	-591.533	-37.0767	800882.8	3.392921	0.99858	0.999637	1.00036	1.00142	7.346826
1	1	-773.767	-641.207	-132.56	711581.1	0.2870338	0.998494	0.999615	1.00038	1.00151	137.708
2	0	-507.523	-475.693	-31.8307	798601.9	5.484258	0.998578	0.999636	1.00036	1.00142	6.401826
3	1	-769.444	-635.04	-134.404	900085.1	0.2250244	0.998661	0.999657	1.00034	1.00134	148.212
4	0	-470.456	-446.292	-24.1645	836806.1	6.008202	0.998611	0.999645	1.00035	1.00139	5.051316
5	1	-762.274	-632.342	-129.932	203751.6	0.2190407	0.997185	0.999279	1.00072	1.00282	127.7886
6	0	-472.953	-446.869	-26.0837	580231.5	7.313331	0.998332	0.999573	1.00043	1.00167	5.263596
7	1	-740.85	-614.704	-126.145	147925.6	0.3783465	0.996697	0.999154	1.00084	1.00331	111.5609
8	0	-464.795	-444.003	-20.7919	676593.7	5.314441	0.998455	0.999605	1.00039	1.00155	4.340323
9	1	-737.61	-613.233	-124.377	472294.5	0.2756559	0.998151	0.999527	1.00047	1.00185	108.8736
10	0	-448.792	-427.118	-21.6741	490842.3	5.337725	0.998186	0.999536	1.00046	1.00181	4.512831
11	1	-713.297	-598.103	-115.194	885796.8	0.3512239	0.99865	0.999655	1.00034	1.00135	82.02295
12	0	-441.148	-420.634	-20.5138	408364.4	5.926121	0.998012	0.999491	1.00051	1.00199	4.43141
13	1	-709.2	-598.039	-111.161	673155.3	0.4601032	0.998451	0.999604	1.0004	1.00155	73.1673
14	0	-432.969	-419.811	-13.1585	120808.7	7.255939	0.996345	0.999064	1.00093	1.00366	3.489642
15	1	-715.65	-596.16	-119.49	262820.7	0.3342083	0.997522	0.999366	1.00063	1.00248	94.15919
16	0	-423.521	-411.6	-11.9206	123331.6	7.518151	0.996383	0.999073	1.00092	1.00362	3.352129
17	1	-705.718	-591.457	-114.261	516225.2	0.5027631	0.998231	0.999548	1.00045	1.00177	78.92719
18	0	-432.704	-416.999	-15.7054	113753.6	7.878876	0.996234	0.999035	1.00096	1.00377	3.866162
19	1	-715.549	-595.091	-120.458	780614.9	0.4127439	0.998562	0.999632	1.00037	1.00144	95.42556
20	0	-434.864	-417.739	-17.1247	157881.7	8.249873	0.996803	0.999181	1.00082	1.0032	4.0394
21	1	-706.737	-595.161	-111.576	449574.7	0.4195373	0.998105	0.999515	1.00048	1.0019	73.98961
22	0	-431.462	-416.113	-15.349	485227.9	7.610008	0.998176	0.999533	1.00047	1.00183	3.812427
23	1	-696.087	-590.284	-105.803	257115.2	0.5295793	0.997494	0.999359	1.00064	1.00251	62.18838
24	0	-443.495	-424.943	-18.5518	970380.7	6.410425	0.99871	0.99967	1.00033	1.00129	4.179836
25	1	-679.371	-584.349	-95.0224	189131.3	0.7317333	0.997079	0.999252	1.00075	1.00292	44.80067
26	0	-431.355	-419.883	-11.4721	615966.5	7.547291	0.998381	0.999586	1.00041	1.00162	3.295907
27	1	-662.032	-572.167	-89.8646	614548.9	0.9466865	0.998379	0.999585	1.00041	1.00162	38.11252
28	0	-449.366	-433.412	-15.9533	257923.7	11.34811	0.997498	0.99936	1.00064	1.0025	3.705964
29	1	-630.346	-556.979	-73.3671	382923.5	1.153518	0.997947	0.999475	1.00052	1.00205	22.59406
30	0	-436.997	-423.863	-13.1341	459726.6	7.344947	0.998126	0.999521	1.00048	1.00188	3.496397
31	1	-569.638	-521.666	-47.9721	231965.1	2.742716	0.997362	0.999325	1.00067	1.00264	10.54874
32	0	-439.483	-425.039	-14.4437	587156.2	10.54935	0.998342	0.999576	1.00042	1.00166	3.630293
33	1	-499.58	-466.153	-33.4266	928286.8	4.761769	0.998681	0.999663	1.00034	1.00132	6.759661
34	0	-442.593	-421.905	-20.688	549351	5.504504	0.998286	0.999561	1.00044	1.00172	4.375351
35	1	-454.607	-429.989	-24.6189	577771.8	7.601552	0.998328	0.999572	1.00043	1.00167	5.031536
36	0	-431.305	-417.837	-13.4686	145764.7	8.818729	0.996673	0.999148	1.00085	1.00333	3.600877
37	1	-445.396	-427.127	-18.2691	366965.5	6.070967	0.997902	0.999463	1.00054	1.0021	4.082428
38	0	-432.72	-422.796	-9.92321	234165.5	11.50036	0.997374	0.999328	1.00067	1.00263	3.168155
39	1	-443.132	-422.773	-20.3598	537041.4	8.25726	0.998266	0.999556	1.00044	1.00174	4.430978
40	0	-439.589	-427.966	-11.6232	246091.2	7.728438	0.997439	0.999344	1.00065	1.00256	3.334789
41	1	-446.343	-425.473	-20.8698	120733.1	6.580056	0.996344	0.999063	1.00093	1.00366	4.55019
42	0	-439.65	-424.959	-14.6904	324050.4	8.109672	0.997768	0.999429	1.00057	1.00223	3.74277
43	1	-438.158	-422.984	-15.1744	152791.5	8.739237	0.99675	0.999168	1.00083	1.00325	3.796444
44	0	-432.315	-423.35	-8.96541	938950.1	11.17225	0.998689	0.999665	1.00033	1.00131	3.095844
45	1	-443.086	-434.479	-8.60669	10930.17	10.09425	0.987868	0.996868	1.00308	1.01218	3.080567
46	0	-431.402	-417.088	-14.3139	870275.2	7.341968	0.998638	0.999652	1.00035	1.00136	3.656766
47	1	-426.772	-417.129	-9.64328	152307.4	12.56188	0.996745	0.999166	1.00083	1.00326	3.093183
48	0	-435.727	-422.257	-13.47	950354.3	8.484065	0.998696	0.999667	1.00033	1.0013	3.600484
49	1	-433.913	-420.39	-13.5237	784061.6	9.98851	0.998565	0.999633	1.00037	1.00144	3.572769
50	0	-435.75	-418.188	-17.5616	39556.83	5.327069	0.993616	0.99836	1.00163	1.0064	3.73788
51	1	-436.955	-421.182	-15.7727	124693.1	6.851493	0.996403	0.999078	1.00092	1.0036	3.812764
52	0	-431.836	-420.999	-10.837	810933.3	8.574438	0.998589	0.999639	1.00036	1.00141	3.294136
53	1	-438.3	-427.09	-11.2104	928626.9	10.28613	0.998681	0.999663	1.00034	1.00132	3.332909
54	0	-438.929	-421.66	-17.269	384374.9	8.921057	0.997951	0.999476	1.00052	1.00205	4.025956
55	1	-434.786	-423.082	-11.7045	849558.4	9.146624	0.998621	0.999647	1.00035	1.00138	3.403464
56	0	-423.052	-414.398	-8.65382	125746.2	10.65932	0.996418	0.999082	1.00091	1.00359	3.079708
57	1	-430.411	-424.308	-6.10309	980140	9.847716	0.998716	0.999672	1.00033	1.00128	2.825604
58	0	-426.837	-417.267	-9.57009	83236.31	11.29477	0.995598	0.998871	1.00112	1.00441	3.145495
59	1	-440.768	-426.879	-13.8882	674372.2	7.852917	0.998453	0.999604	1.00039	1.00155	3.634329
60	0	-431.947	-419.771	-12.1757	797968.1	8.833936	0.998577	0.999636	1.00036	1.00142	3.454414
61	1	-449.839	-427.018	-22.8208	334249.8	5.058011	0.997802	0.999438	1.00056	1.0022	4.648986
62	0	-435.217	-416.774	-18.4437	569601.7	6.165372	0.998316	0.999569	1.00043	1.00168	4.127761
63	1	-449.532	-426.971	-22.5612	486467.7	5.575711	0.998178	0.999534	1.00046	1.00182	4.728947
