Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-628.609	-591.533	-37.0767	800882.8	3.392921	0.99858	0.999637	1.00036	1.00142	7.346826
10	-507.523	-475.693	-31.8307	798601.9	5.484258	0.998578	0.999636	1.00036	1.00142	6.401826
20	-470.456	-446.292	-24.1645	836806.1	6.008202	0.998611	0.999645	1.00035	1.00139	5.051316
30	-472.953	-446.869	-26.0837	580231.5	7.313331	0.998332	0.999573	1.00043	1.00167	5.263596
40	-464.795	-444.003	-20.7919	676593.7	5.314441	0.998455	0.999605	1.00039	1.00155	4.340323
50	-448.792	-427.118	-21.6741	490842.3	5.337725	0.998186	0.999536	1.00046	1.00181	4.512831
60	-441.148	-420.634	-20.5138	408364.4	5.926121	0.998012	0.999491	1.00051	1.00199	4.43141
70	-432.969	-419.811	-13.1585	120808.7	7.255939	0.996345	0.999064	1.00093	1.00366	3.489642
80	-423.521	-411.6	-11.9206	123331.6	7.518151	0.996383	0.999073	1.00092	1.00362	3.352129
90	-432.704	-416.999	-15.7054	113753.6	7.878876	0.996234	0.999035	1.00096	1.00377	3.866162
100	-434.864	-417.739	-17.1247	157881.7	8.249873	0.996803	0.999181	1.00082	1.0032	4.0394
110	-431.462	-416.113	-15.349	485227.9	7.610008	0.998176	0.999533	1.00047	1.00183	3.812427
120	-443.495	-424.943	-18.5518	970380.7	6.410425	0.99871	0.99967	1.00033	1.00129	4.179836
130	-431.355	-419.883	-11.4721	615966.5	7.547291	0.998381	0.999586	1.00041	1.00162	3.295907
140	-449.366	-433.412	-15.9533	257923.7	11.34811	0.997498	0.99936	1.00064	1.0025	3.705964
150	-436.997	-423.863	-13.1341	459726.6	7.344947	0.998126	0.999521	1.00048	1.00188	3.496397
160	-439.483	-425.039	-14.4437	587156.2	10.54935	0.998342	0.999576	1.00042	1.00166	3.630293
170	-442.593	-421.905	-20.688	549351	5.504504	0.998286	0.999561	1.00044	1.00172	4.375351
180	-431.305	-417.837	-13.4686	145764.7	8.818729	0.996673	0.999148	1.00085	1.00333	3.600877
190	-432.72	-422.796	-9.92321	234165.5	11.50036	0.997374	0.999328	1.00067	1.00263	3.168155
200	-439.589	-427.966	-11.6232	246091.2	7.728438	0.997439	0.999344	1.00065	1.00256	3.334789
210	-439.65	-424.959	-14.6904	324050.4	8.109672	0.997768	0.999429	1.00057	1.00223	3.74277
220	-432.315	-423.35	-8.96541	938950.1	11.17225	0.998689	0.999665	1.00033	1.00131	3.095844
230	-431.402	-417.088	-14.3139	870275.2	7.341968	0.998638	0.999652	1.00035	1.00136	3.656766
240	-435.727	-422.257	-13.47	950354.3	8.484065	0.998696	0.999667	1.00033	1.0013	3.600484
250	-435.75	-418.188	-17.5616	39556.83	5.327069	0.993616	0.99836	1.00163	1.0064	3.73788
260	-431.836	-420.999	-10.837	810933.3	8.574438	0.998589	0.999639	1.00036	1.00141	3.294136
270	-438.929	-421.66	-17.269	384374.9	8.921057	0.997951	0.999476	1.00052	1.00205	4.025956
280	-423.052	-414.398	-8.65382	125746.2	10.65932	0.996418	0.999082	1.00091	1.00359	3.079708
290	-426.837	-417.267	-9.57009	83236.31	11.29477	0.995598	0.998871	1.00112	1.00441	3.145495
300	-431.947	-419.771	-12.1757	797968.1	8.833936	0.998577	0.999636	1.00036	1.00142	3.454414
310	-435.217	-416.774	-18.4437	569601.7	6.165372	0.998316	0.999569	1.00043	1.00168	4.127761
320	-434.613	-417.646	-16.9671	642114.9	6.635445	0.998414	0.999594	1.0004	1.00159	3.964063
330	-427.652	-419.127	-8.52566	693978.6	8.551822	0.998475	0.99961	1.00039	1.00153	3.022906
340	-424.191	-413.411	-10.7792	620220.9	8.405879	0.998386	0.999587	1.00041	1.00161	3.279375
350	-431.502	-417.478	-14.024	411292.9	9.756698	0.998019	0.999493	1.00051	1.00198	3.634264
360	-449.48	-428.613	-20.8668	967765.9	5.876296	0.998708	0.99967	1.00033	1.00129	4.483335
370	-435.719	-418.379	-17.3399	424903.5	9.122719	0.998051	0.999501	1.0005	1.00195	4.021167
380	-434.839	-419.989	-14.8494	274297.7	10.01805	0.997574	0.999379	1.00062	1.00243	3.703705
390	-436.284	-415.419	-20.8645	369631	5.053325	0.99791	0.999465	1.00053	1.00209	4.260292
400	-435.906	-421.705	-14.201	233024.7	8.064638	0.997368	0.999326	1.00067	1.00263	3.68132
410	-435.11	-418.297	-16.813	118732.3	7.329527	0.996314	0.999055	1.00094	1.00369	3.996638
420	-431.555	-417.855	-13.6997	889773.6	8.21606	0.998653	0.999655	1.00034	1.00135	3.623489
430	-438.12	-420.612	-17.508	592266	6.624994	0.998349	0.999578	1.00042	1.00165	4.044427
440	-442.452	-425.153	-17.299	709082	6.252885	0.998491	0.999614	1.00039	1.00151	3.958516
450	-435.062	-418.773	-16.2889	216230.4	8.279521	0.997268	0.9993	1.0007	1.00273	3.937574
460	-442.597	-424.711	-17.8865	252672.9	7.492591	0.997472	0.999353	1.00064	1.00253	4.145491
470	-427.95	-417.295	-10.6545	390244.4	9.728299	0.997966	0.99948	1.00052	1.00204	3.289206
480	-444.581	-427.288	-17.293	467365.2	6.320109	0.998141	0.999524	1.00047	1.00186	3.969176
490	-436.332	-418.39	-17.9426	268944.7	6.932207	0.99755	0.999373	1.00062	1.00245	4.134809
500	-441.602	-422.089	-19.5123	953385.8	7.969161	0.998698	0.999667	1.00033	1.0013	4.34498
510	-434.855	-420.945	-13.9099	5259.692	10.66449	0.982528	0.995469	1.00442	1.01758	3.572479
520	-431.824	-420.418	-11.4063	598422.1	12.11903	0.998357	0.99958	1.00042	1.00164	3.26127
530	-430.5	-417.648	-12.8515	924184.4	9.622664	0.998678	0.999662	1.00034	1.00132	3.518386
540	-437.907	-422.166	-15.7412	768031	10.00516	0.99855	0.999629	1.00037	1.00145	3.793625
550	-428.454	-421.456	-6.99742	68350.59	10.66419	0.995142	0.998754	1.00124	1.00487	2.9243
560	-438.587	-425.844	-12.7428	202452.8	13.35713	0.997176	0.999277	1.00072	1.00283	3.280821
570	-429.774	-419.738	-10.0359	52809.98	7.760127	0.994474	0.998582	1.00141	1.00554	3.133212
580	-445.64	-426.948	-18.6922	74801.16	7.877089	0.995356	0.998809	1.00118	1.00465	4.245315
590	-438.698	-426.793	-11.9044	590609.7	9.950261	0.998346	0.999577	1.00042	1.00165	3.411815
600	-428.441	-419.023	-9.41846	665295.1	9.499306	0.998442	0.999602	1.0004	1.00156	3.160453
610	-436.584	-418.327	-18.2565	592827.3	9.706915	0.99835	0.999578	1.00042	1.00165	4.072567
620	-435.704	-418.816	-16.8882	111060.2	8.192854	0.996188	0.999023	1.00097	1.00382	4.0121
630	-430.342	-417.046	-13.2962	150141.7	8.221556	0.996721	0.99916	1.00084	1.00328	3.574533
640	-427.718	-413.949	-13.7687	433945.1	8.855713	0.998071	0.999506	1.00049	1.00193	3.634485
650	-434.196	-415.272	-18.9245	448390.3	9.828126	0.998102	0.999515	1.00048	1.0019	4.129512
660	-432.324	-427.1	-5.22396	881217.3	12.42057	0.998646	0.999654	1.00035	1.00135	2.744787
670	-440.096	-425.89	-14.2054	920098.2	12.77295	0.998675	0.999661	1.00034	1.00133	3.438985
680	-435.226	-422.913	-12.3126	360186.3	8.834033	0.997883	0.999458	1.00054	1.00212	3.469902
690	-434.103	-415.297	-18.8065	744247.3	7.16969	0.998527	0.999623	1.00038	1.00147	4.266756
700	-436.542	-418.228	-18.3141	502364.4	6.159435	0.998207	0.999541	1.00046	1.00179	4.105735
710	-443.254	-426.104	-17.1497	838303.3	8.728801	0.998612	0.999645	1.00035	1.00139	4.022995
720	-432.184	-423.156	-9.02847	776068.7	12.70781	0.998557	0.999631	1.00037	1.00144	3.03698
730	-428.843	-419.843	-8.99943	849200.1	9.295329	0.998621	0.999647	1.00035	1.00138	3.112053
740	-435.87	-425.334	-10.5357	293379	9.573721	0.997654	0.9994	1.0006	1.00235	3.277928
750	-434.928	-419.654	-15.2743	88962.15	6.723925	0.995742	0.998908	1.00109	1.00426	3.72253
760	-438.087	-420.16	-17.9267	26368.35	10.5783	0.992183	0.99799	1.00199	1.00784	3.957624
770	-426.559	-420.022	-6.53696	170086.5	10.66312	0.99692	0.999211	1.00079	1.00308	2.88112
780	-431.458	-419.262	-12.1953	35786.94	9.665871	0.993289	0.998276	1.00171	1.00673	3.449172
