Iteration	Posterior	Likelihood	Prior	alpha_morpho	branch_rate_var[1]	branch_rate_var[2]	branch_rate_var[3]	branch_rate_var[4]	branch_rate_var[5]	branch_rate_var[6]	branch_rate_var[7]	branch_rate_var[8]	branch_rate_var[9]	branch_rate_var[10]	branch_rate_var[11]	branch_rate_var[12]	branch_rate_var[13]	branch_rate_var[14]	branch_rate_var[15]	branch_rate_var[16]	branch_rate_var[17]	branch_rate_var[18]	branch_rate_var[19]	branch_rate_var[20]	branch_rate_var[21]	branch_rate_var[22]	branch_rate_var[23]	branch_rate_var[24]	branch_rate_var[25]	branch_rate_var[26]	branch_rate_var[27]	branch_rate_var[28]	branch_rate_var[29]	branch_rate_var[30]	branch_rate_var[31]	branch_rate_var[32]	branch_rate_var[33]	branch_rate_var[34]	branch_rate_var[35]	branch_rate_var[36]	branch_rate_var[37]	branch_rate_var[38]	branch_rate_var[39]	branch_rate_var[40]	branch_rate_var[41]	branch_rate_var[42]	branch_rate_var[43]	branch_rate_var[44]	branch_rate_var[45]	branch_rate_var[46]	branch_rate_var[47]	branch_rate_var[48]	branch_rate_var[49]	branch_rate_var[50]	branch_rate_var[51]	branch_rate_var[52]	diversification	extinction_rate	fossil[1]	fossil[2]	fossil[3]	fossil[4]	fossil[5]	fossil[6]	fossil[7]	fossil[8]	fossil[9]	fossil[10]	fossil[11]	fossil[12]	fossil[13]	fossil[14]	fossil[15]	fossil[16]	fossil[17]	fossil[18]	fossil[19]	fossil[20]	fossil[21]	fossil[22]	fossil[23]	fossil[24]	fossil[25]	fossil[26]	fossil[27]	num_samp_anc	origin_time	psi	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	t[14]	t[15]	t[16]	t[17]	t[18]	t[19]	t[20]	t[21]	t[22]	t[23]	t[24]	t[25]	t[26]	t[27]	turnover	ucln_mean	ucln_mu	ucln_sigma	ucln_var
0	-798.4269	-763.7731	-34.6538	123953.5	0.067105	0.0789583	0.0616316	0.0703749	0.0765365	0.0679319	0.0610119	0.0604364	0.0701893	0.0640018	0.0636589	0.0661864	0.071039	0.0629069	0.0641232	0.0663257	0.07357	0.0765031	0.0558464	0.0575938	0.0722556	0.0653279	0.0740401	0.0655721	0.0629167	0.0613321	0.0606306	0.0566951	0.06605	0.0704854	0.066287	0.0587765	0.0692464	0.0675062	0.0522086	0.0562598	0.0641498	0.0637799	0.0621516	0.0658217	0.064566	0.0642843	0.0646124	0.0707038	0.0587987	0.0611034	0.0722105	0.076712	0.0640115	0.0723268	0.0581686	0.0622247	0.03757339	0.1238506	0.458508	3.31275	-2.8339	-0.333872	-2.25573	-1.51234	0.578639	1.51653	0.421116	1.63402	1.37758	-0.270213	2.31764	-1.80758	0.530777	2.65751	0.0455548	-0.516915	0.487767	0.373825	0.185099	0.443808	3.3368	0.06583	-0.135031	-4.33848	2.27665	0	14.86935	0.2095686	0.996392	0.999076	1.00092	1.00361	0.161424	7.3	5.6	3.8	3.8	3.8	2.3	3.8	7.3	2.3	5.2	2.3	1.7	2.3	1.7	0	1.7	1.2	5.6	6.1	5.9	5.2	2.3	5.6	5.9	6.1	6.1	5.2	0.7672379	0.06691759	-2.710881	0.1147841	0.01317539
10	-647.5525	-617.4309	-30.12162	131237.8	0.069141	0.0630401	0.0531008	0.0604913	0.0511312	0.0863311	0.0551964	0.063087	0.0628544	0.0467354	0.0666277	0.0649291	0.0659935	0.0713428	0.074112	0.0727883	0.0464757	0.0557977	0.0721588	0.0652705	0.0689907	0.0560708	0.0733153	0.0481125	0.0818961	0.0724951	0.0564068	0.0465925	0.0881573	0.0597991	0.0663288	0.0594631	0.0762197	0.0610335	0.0796776	0.0854196	0.0817126	0.0814915	0.0747947	0.0569972	0.0612283	0.0750856	0.0616119	0.074218	0.0600756	0.0799229	0.0651431	0.0877658	0.0601462	0.0494393	0.0616756	0.0495482	0.01469547	0.1505533	0.458508	3.31275	-2.8339	-0.333872	-2.25573	-1.51234	0.578639	1.51653	0.421116	1.63402	1.37758	-0.270213	2.31764	-1.80758	0.530777	2.65751	0.0455548	-0.516915	0.487767	0.373825	0.185099	0.443808	3.3368	0.06583	-0.135031	-4.33848	2.27665	6	13.11313	0.159617	0.996493	0.999102	1.00089	1.00351	0.1652488	8.67243	8.75003	1.12951	4.56797	1.37034	3.33042	5.90723	7.3	2.3	5.8911	2.3	2.15155	3.00592	0.35296	0	2.59878	1.2	4.43222	6.1	5.9	5.2	4.84998	6.43833	7.85616	9.95429	6.9644	10.5309	0.9110706	0.06691759	-2.720971	0.1826323	0.03335456
20	-597.577	-600.0508	2.473767	202515.7	0.0593762	0.0734623	0.0639213	0.0762439	0.0641933	0.0670206	0.0626446	0.062367	0.0682744	0.062001	0.0661783	0.0626377	0.0704609	0.0736956	0.0577305	0.0631867	0.0729399	0.0645738	0.07325	0.0694431	0.064841	0.0687071	0.062879	0.0760596	0.0722155	0.0546176	0.0719645	0.0586499	0.0664819	0.0588118	0.0704944	0.0622873	0.0653409	0.0657471	0.0642901	0.0702506	0.0587818	0.0699464	0.0679968	0.0559244	0.071994	0.0603299	0.0622546	0.0734264	0.070342	0.0561381	0.0682017	0.0608044	0.0614548	0.0717659	0.0551894	0.0761499	0.0862273	0.2976318	0.458508	3.31275	-2.8339	-0.333872	-2.25573	-1.51234	0.578639	1.51653	0.421116	1.63402	1.37758	-0.270213	2.31764	-1.80758	0.530777	2.65751	0.0455548	-0.516915	0.487767	0.373825	0.185099	0.443808	3.3368	0.06583	-0.135031	-4.33848	2.27665	9	13.16061	0.1612112	0.997177	0.999277	1.00072	1.00283	0.3838591	8.67243	9.41664	4.46196	4.56797	1.74797	1.23256	2.88719	9.11425	3.86079	7.09871	2.3	3.73749	4.92335	0.0230996	0	2.98226	2.03415	4.43222	6.99186	5.54873	4.91146	4.26186	5.48559	8.23859	11.2698	8.7767	11.1665	0.7753673	0.06676364	-2.711725	0.101279	0.01025744
30	-595.8183	-570.8504	-24.96795	229363	0.0695306	0.0755013	0.076034	0.0807008	0.0639408	0.0571989	0.0679545	0.0582471	0.0598626	0.0794744	0.0585392	0.0739714	0.0723962	0.0786844	0.0614865	0.0631653	0.0627269	0.0620485	0.0788538	0.0524461	0.0638291	0.0647401	0.064687	0.066417	0.070993	0.0722047	0.0604555	0.0576615	0.0574445	0.0489255	0.0853468	0.0671247	0.0594727	0.0672523	0.0616114	0.0656006	0.0828198	0.0699464	0.0705565	0.0736558	0.0737582	0.0624937	0.0660833	0.0455471	0.0617044	0.0525578	0.0638764	0.0562778	0.0831555	0.0690169	0.0684382	0.0502061	0.04614381	0.2901047	0.458508	3.31275	-2.8339	-0.333872	-2.25573	-1.51234	0.578639	1.51653	0.421116	1.63402	1.37758	-0.270213	2.31764	-1.80758	0.530777	2.65751	0.0455548	-0.516915	0.487767	0.373825	0.185099	0.443808	3.3368	0.06583	-0.135031	-4.33848	2.27665	9	13.59051	0.1613102	0.997347	0.999321	1.00068	1.00266	0.3362485	8.14107	10.1316	4.46196	7.23527	2.41612	1.23256	7.48587	12.249	3.78671	7.85631	3.49368	5.22867	4.92335	0.128161	0	3.45833	4.31314	4.43222	6.99186	8.62207	7.93923	5.14583	9.76335	8.65287	12.9447	10.0188	12.685	0.8627687	0.06622576	-2.722439	0.1245277	0.01550716
40	-611.6549	-563.7538	-47.90113	229363	0.0616216	0.0586652	0.0506951	0.0807008	0.0390601	0.0670206	0.0542312	0.0599087	0.0476847	0.0577643	0.064142	0.0622464	0.0623525	0.0442237	0.0772004	0.0628045	0.0652302	0.0617206	0.0773598	0.0474269	0.0488331	0.0725306	0.0458044	0.0485227	0.0394316	0.0726052	0.0569171	0.0575029	0.0482718	0.0569234	0.0736035	0.0616737	0.0511101	0.0590796	0.0567275	0.0556069	0.0627227	0.0518631	0.0664035	0.0438889	0.0785653	0.0664317	0.0463103	0.0384164	0.0431754	0.0597991	0.0787664	0.0437139	0.0496846	0.0581873	0.0855596	0.0667535	0.05127964	0.2917027	0.458508	3.31275	-2.8339	-0.333872	-2.25573	-1.51234	0.578639	1.51653	0.421116	1.63402	1.37758	-0.270213	2.31764	-1.80758	0.530777	2.65751	0.0455548	-0.516915	0.487767	0.373825	0.185099	0.443808	3.3368	0.06583	-0.135031	-4.33848	2.27665	9	14.39395	0.182842	0.997347	0.999321	1.00068	1.00266	0.3429823	8.14107	11.1009	4.46196	8.78579	5.30495	0.25791	3.95107	13.3381	3.78671	7.85631	3.49368	5.89107	5.70734	1.68944	0	4.27212	5.67645	4.43222	6.99186	8.62207	7.93923	5.14583	9.40338	8.30021	13.1363	10.3369	12.4151	0.850489	0.06078511	-2.822174	0.2086336	0.04352799
50	-626.6009	-553.0735	-73.52738	182028.5	0.0503382	0.0732097	0.0972329	0.0627878	0.04204	0.0514916	0.0549303	0.0405348	0.0671064	0.0779807	0.0602062	0.0365384	0.0466619	0.0448942	0.0653983	0.0369752	0.0510828	0.0393561	0.0840921	0.0423155	0.0503271	0.0796467	0.0687243	0.0318493	0.049925	0.0539132	0.0372424	0.0701635	0.0482003	0.0603454	0.058791	0.0650464	0.0415003	0.0498806	0.0505648	0.0427747	0.0780227	0.0492675	0.0463995	0.0537889	0.0662603	0.0301457	0.0480472	0.067702	0.0664155	0.0242268	0.0651418	0.0401682	0.0683431	0.0526531	0.0889826	0.0389852	0.1150115	0.2855056	0.458508	3.31275	-2.8339	-0.333872	-2.25573	-1.51234	0.578639	1.51653	0.421116	1.63402	1.37758	-0.270213	2.31764	-1.80758	0.530777	2.65751	0.0455548	-0.516915	0.487767	0.373825	0.185099	0.443808	3.3368	0.06583	-0.135031	-4.33848	2.27665	10	15.10936	0.2423091	0.997022	0.999237	1.00076	1.00298	0.4005171	8.47145	9.74867	4.46196	7.85203	4.55146	3.13466	5.79674	13.2244	3.78671	7.85631	2.96017	5.57668	2.21796	1.68944	0	4.6119	6.92911	4.13367	6.99186	6.98906	7.93923	4.78777	9.40338	8.57899	13.6167	10.3369	14.4831	0.7128425	0.06440566	-2.799292	0.3368622	0.1134762
60	-627.8849	-552.8536	-75.03123	151253.2	0.0416761	0.0344249	0.0752247	0.0678774	0.0714906	0.0286313	0.0497894	0.0382619	0.0663042	0.0872306	0.0460977	0.0673003	0.0483414	0.0862249	0.0724279	0.0477054	0.0974507	0.0484311	0.0383425	0.0428439	0.0560638	0.0794432	0.0360046	0.0352316	0.0557053	0.0495356	0.0660263	0.0418736	0.0579739	0.0863297	0.0644173	0.0827673	0.09416	0.0681461	0.0462072	0.0402444	0.0875884	0.0572	0.0923932	0.0415678	0.0728068	0.070644	0.0986916	0.0551082	0.063402	0.0849553	0.0671691	0.0636969	0.0670746	0.0779835	0.0304142	0.0483818	0.02476622	0.3288837	0.458508	3.31275	-2.8339	-0.333872	-2.25573	-1.51234	0.578639	1.51653	0.421116	1.63402	1.37758	-0.270213	2.31764	-1.80758	0.530777	2.65751	0.0455548	-0.516915	0.487767	0.373825	0.185099	0.443808	3.3368	0.06583	-0.135031	-4.33848	2.27665	10	15.14367	0.1279373	0.996734	0.999163	1.00083	1.00327	0.3536499	10.9802	9.66376	3.04078	9.04025	4.79062	2.16054	5.79674	14.8106	4.918	7.85631	3.28678	6.43952	2.21796	0.670854	0	4.6119	2.83851	4.01695	10.0842	6.98906	7.93923	5.71011	9.08898	8.78324	13.6609	2.28144	14.5668	0.9299697	0.06221745	-2.81199	0.2640854	0.06974109
70	-615.861	-542.567	-73.29395	227324.3	0.0298645	0.0417484	0.0756306	0.0588591	0.0336444	0.023194	0.0294941	0.0429647	0.0403054	0.0478145	0.0328556	0.0385423	0.0509591	0.0431979	0.0921013	0.0535537	0.0581521	0.0319282	0.0325633	0.0300675	0.0172739	0.0453193	0.0510819	0.0243166	0.0279695	0.0200186	0.0757579	0.0418784	0.0468293	0.0791671	0.0711616	0.0341946	0.0528917	0.0658401	0.0304178	0.0285136	0.086197	0.032525	0.0556011	0.053437	0.0450588	0.0534783	0.0368149	0.0217417	0.0241319	0.0672585	0.0955138	0.0514116	0.062208	0.0807349	0.0241569	0.0279479	0.03045031	0.2746216	0.458508	3.31275	-2.8339	-0.333872	-2.25573	-1.51234	0.578639	1.51653	0.421116	1.63402	1.37758	-0.270213	2.31764	-1.80758	0.530777	2.65751	0.0455548	-0.516915	0.487767	0.373825	0.185099	0.443808	3.3368	0.06583	-0.135031	-4.33848	2.27665	9	15.11206	0.1084932	0.997335	0.999318	1.00068	1.00267	0.3050719	12.6073	11.0023	4.67716	2.07495	6.05327	0.128601	5.78766	13.406	4.918	7.85631	3.28678	6.04528	4.74437	0.536613	0	5.93839	4.42168	6.30699	8.9799	6.98906	7.93923	4.20924	10.5431	9.43084	12.6059	3.058	14.8164	0.9001865	0.05315556	-3.045526	0.471154	0.2219861
80	-626.2471	-526.3393	-99.9079	227324.3	0.0217876	0.0216167	0.0317403	0.152457	0.0219374	0.0242634	0.0251264	0.0431449	0.0838427	0.0434831	0.128198	0.0322829	0.0931997	0.0196849	0.0677121	0.0247201	0.0768483	0.0343301	0.0325633	0.0164387	0.0549176	0.0620734	0.0510819	0.0150307	0.0280459	0.0648775	0.0470406	0.0483547	0.0276425	0.0411703	0.0321049	0.0797713	0.10191	0.0519573	0.0292205	0.022535	0.0481253	0.0137109	0.0807058	0.0310076	0.0839029	0.060974	0.0590324	0.0167392	0.020512	0.0929337	0.199759	0.0913305	0.0568732	0.0531482	0.0669727	0.045218	-0.04704794	0.3824763	0.458508	3.31275	-2.8339	-0.333872	-2.25573	-1.51234	0.578639	1.51653	0.421116	1.63402	1.37758	-0.270213	2.31764	-1.80758	0.530777	2.65751	0.0455548	-0.516915	0.487767	0.373825	0.185099	0.443808	3.3368	0.06583	-0.135031	-4.33848	2.27665	11	15.1697	0.1392052	0.997335	0.999318	1.00068	1.00267	0.3354284	12.0438	12.8749	3.72254	6.30043	6.05327	2.04714	3.80025	13.3549	4.72833	8.61755	3.28678	6.3038	4.74437	3.54194	0	4.84615	4.42149	2.82223	8.9799	5.87928	8.10614	6.18424	11.7637	9.68578	11.4166	3.058	15.1305	1.140262	0.05752076	-3.037935	0.6038643	0.3646521
90	-651.2217	-523.9274	-127.2943	227324.3	0.00509274	0.141647	0.0167257	0.0781776	0.0228486	0.0144578	0.0132122	0.0477362	0.0472637	0.0605275	0.140556	0.0475009	0.0361616	0.014161	0.0501053	0.0590527	0.0181471	0.0394561	0.0325633	0.0240288	0.0398165	0.0589381	0.0185599	0.0247842	0.0351824	0.024821	0.172771	0.0945067	0.0148038	0.0465214	0.120298	0.0337523	0.0752497	0.0345877	0.0242343	0.0128408	0.0250878	0.0855671	0.184094	0.0425166	0.0641861	0.0265688	0.606589	0.0275276	0.0123319	0.0350235	0.154861	0.00894828	0.0643115	0.0882013	0.0453935	0.156683	0.05794963	0.2282204	0.458508	3.31275	-2.8339	-0.333872	-2.25573	-1.51234	0.578639	1.51653	0.421116	1.63402	1.37758	-0.270213	2.31764	-1.80758	0.530777	2.65751	0.0455548	-0.516915	0.487767	0.373825	0.185099	0.443808	3.3368	0.06583	-0.135031	-4.33848	2.27665	9	15.15566	0.1062468	0.997335	0.999318	1.00068	1.00267	0.28617	12.8678	14.3672	3.13174	6.30043	6.05327	2.59841	3.80025	13.3514	0.201034	8.61755	3.28678	7.02558	5.18371	0.410085	0	4.3671	4.08073	5.6096	6.34358	5.99457	5.39187	0.244081	9.7316	11.4693	12.6837	3.61286	15.1504	0.7974993	0.07358528	-3.031257	0.9186364	0.8438929
